teamName,cityPopulation,teamSpending,taxRate,avgTemp,managementRank,luxuryTaxSpace,milesTraveled,fanAttendance,netRTG,averageTicketPrice,regWins,madePlayoff,seed,crime index
Utah Jazz,2400000,63344192,0.05,48.6,NA,3393138,50914,"765,915",-0.7,130.28,43,no,0,603.3
Washington Wizards,5700000,57476259,0.0895,50,NA,11705743,48486,"670,070",-2.7,98.43,29,no,0,583.4
Atlanta Hawks,5800000,70958314,0.06,63.5,NA,-651314,41816,"501,593",3.8,NA,40,yes,5,728.6
Boston Celtics,4700000,76053505,0.051,47.9,NA,-6237614,45252,"614,592",3.4,NA,39,yes,4,379.7
Brooklyn Nets,2600000,57917825,0.0882,45.4,NA,4695627,33297,"460,719",-15.5,NA,22,no ,0,249.3
Charlotte Hornets,2400000,68873614,0.05449,59,NA,-480864,31718,"486,984",9.3,NA,7,no,0,307.4
Chicago Bulls,9500000,48030927,0.0495,51.8,NA,19843826,33012,"731,326",-7.9,NA,50,yes,1,536.3
Cleveland Cavaliers,2000000,74325300,0.4997,50.7,NA,-4903420,28784,"525,577",1.3,NA,21,no,0,817
Dallas Mavericks,6800000,52473071,0,64.8,NA,13156978,34742,"671,050",3.1,NA,36,yes,7,450.3
Denver Nuggets,3000000,55626387,0.0463,45.1,NA,6250320,42653,"561,966",-6.2,NA,38,yes,6,385.2
Detroit Pistons,5200000,57198850,0.0425,44.4,NA,12921641,26329,"475,638",-3,NA,25,no,0,982.7
Golden State Warriors,8700000,43714664,0.133,59.4,NA,20681200,39590,"622,311",0.6,NA,23,no,0,441.5
Houston Rockets,7000000,44413746,0,64.8,NA,25893254,39608,"506,994",3.1,NA,34,no,0,536.4
Indiana Pacers,1750000,68433967,0.0323,51.7,NA,733111,37670,"467,561",2.2,NA,42,yes,3,628.6
LA Clippers,4500000,81371048,0.133,59.4,NA,-11352758,50675,"634,237",1.7,NA,40,yes,5,267.2
Los Angeles Lakers,4500000,67634641,0.133,59.4,NA,2348727,48974,"626,901",2.1,NA,41,yes,3,267.2
Memphis Grizzlies,1330000,73036309,0.03,57.6,NA,-8306056,45723,"518,256",7.2,NA,41,yes,4,804.2
Miami Heat,5560000,65940004,0,70.7,NA,3952589,58131,"657,855",0,NA,46,yes,2,596.4
Milwaukee Bucks,1570000,56628453,0.0765,43.1,NA,13678547,34206,"485,717",-2.2,NA,31,no ,0,628.4
Minnesota Timberwolves,3420000,47830030,0.0985,41.2,NA,22384583,42932,"577,197",-7.2,NA,26,no ,0,576.3
New Orleans Pelicans,1167000,55116884,0.06,66.4,NA,11826258,39391,"498,618",-4,NA,21,no,0,514.2
New York Knicks,9000000,59695415,0.133,45.4,NA,8936585,36916,"652,179",3,NA,36,yes,7,249.3
Oklahoma City Thunder,1410000,56856253,0.05,59.6,NA,8475747,40435,"600,699",7.2,NA,47,yes,2,585.7
Orlando Magic,2130000,68849150,0,70.7,NA,1043407,48572,"623,587",0.7,NA,37,yes,6,602.2
Philadelphia 76ers,4000000,58022021,0.0307,48.8,NA,5539775,35667,"577,597",5.1,NA,35,yes,8,545.1
Phoenix Suns,4500000,56292681,0.0454,60.3,NA,5397096,37158,"514,718",-0.2,NA,33,no,0,407.5
Portland Trail Blazers,2400000,64247715,0.099,48.4,NA,4166653,44639,"676,384",-0.9,NA,28,no,0,398.1
Sacramento Kings,2660000,36583409,0.133,59.4,NA,33654689,44447,"478,764",-5.8,NA,22,no,0,425.6
San Antonio Spurs,2195000,70669541,0,64.8,NA,-3467561,41971,"607,095",7.9,NA,50,yes,1,441.7
Toronto Raptors,5500000,50803700,0.21,38,NA,17158918,31560,"555,584",-3,NA,23,no,0,NA
Utah Jazz,2400000,58114489,0.05,48.6,NA,12123609,45647,"637,124",0.2,NA,36,yes,8,559.3
Washington Wizards,5700000,66770575,0.0895,50,NA,2160330,30451,"552,038",-6,NA,20,no,0,566.2
